REGN,C1_3,C2_3,C3_3
1,Í1,12.43,
1,Í2,129.29,
1,Í3,81.40,
1,Í4,99.73,
1,Í7,164.43,
1,Í9.1,0.00,
1,Ò1,1307.00,
1,Ò2,107.00,
1,Í10.1,0.22,
1,Í12,15.14,
1,Í17,76.88,
1,Í18,107.40,
1,Í19,0.00,
2,Í1,39.18,
2,Í2,28.09,
2,Í3,52.97,
2,Í4,85.80,
2,Í7,156.21,
2,Í9.1,0.10,
2,Í10.1,0.06,
2,Í12,0.00,
5,Í1,13.41,
5,Í2,82.38,
5,Í3,100.54,
5,Í4,66.14,
5,Í7,258.01,
5,Í9.1,1.25,
5,Í10.1,1.80,
5,Í12,0.00,
18,Í1,11.20,
18,Í2,26.90,
18,Í3,53.27,
18,Í4,56.71,
18,Í7,396.78,
18,Í9.1,0.00,
18,Í10.1,1.60,
18,Í12,0.00,
21,Í1,21.86,
21,Í2,82.95,
21,Í3,115.17,
21,Í4,72.53,
21,Í7,184.19,
21,Í9.1,0.00,
21,Í10.1,2.00,
21,Í12,0.00,
23,Í1,13.26,
23,Í2,69.04,
23,Í3,162.24,
23,Í4,45.41,
23,Í7,539.93,
23,Í9.1,0.01,
23,Í10.1,0.78,
23,Í12,0.00,
52,Í1,11.91,
52,Í2,74.08,
52,Í3,79.05,
52,Í4,67.64,
52,Í7,415.30,
52,Í9.1,2.18,
52,Í10.1,1.21,
52,Í12,0.00,
53,Í1,11.97,
53,Í2,49.91,
53,Í3,76.27,
53,Í4,54.58,
53,Í7,535.43,
53,Í9.1,0.04,
53,Í10.1,0.98,
53,Í12,0.00,
55,Í1,14.10,
55,Í2,67.64,
55,Í3,72.49,
55,Í4,73.10,
55,Í7,349.21,
55,Í9.1,4.75,
55,Í10.1,0.86,
55,Í12,0.00,
65,Í1,16.34,
65,Í2,79.74,
65,Í3,113.33,
65,Í4,62.59,
65,Í7,254.23,
65,Í9.1,0.00,
65,Í10.1,1.79,
65,Í12,0.00,
67,Í1,21.65,
67,Í2,34.36,
67,Í3,58.37,
67,Í4,116.61,
67,Í7,235.58,
67,Í9.1,0.00,
67,Í10.1,0.22,
67,Í12,0.00,
77,Í1,11.51,
77,Í2,22.97,
77,Í3,69.86,
77,Í4,73.22,
77,Í7,578.42,
77,Í9.1,0.00,
77,Í10.1,0.74,
77,Í12,0.00,
84,Í1,12.05,
84,Í2,45.15,
84,Í3,66.96,
84,Í4,88.77,
84,Í7,125.02,
84,Í9.1,3.78,
84,Í10.1,1.66,
84,Í12,0.00,
85,Í1,16.05,
85,Í2,86.46,
85,Í3,97.93,
85,Í4,59.34,
85,Í7,330.77,
85,Í9.1,0.00,
85,Í10.1,2.21,
85,Í12,0.00,
96,Í1,22.58,
96,Í2,92.60,
96,Í3,135.30,
96,Í4,52.42,
96,Í7,261.60,
96,Í9.1,0.00,
96,Í10.1,2.89,
96,Í12,0.00,
101,Í1,32.30,
101,Í2,69.24,
101,Í3,93.63,
101,Í4,1.10,
101,Í7,210.09,
101,Í9.1,2.29,
101,Í10.1,0.84,
101,Í12,0.00,
103,Í1,26.92,
103,Í2,46.49,
103,Í3,69.28,
103,Í4,40.89,
103,Í7,192.61,
103,Í9.1,0.00,
103,Í10.1,2.09,
103,Í12,0.00,
106,Í1,27.42,
106,Í2,125.80,
106,Í3,94.34,
106,Í4,29.98,
106,Í7,255.41,
106,Í9.1,1.19,
106,Í10.1,0.98,
107,Í1,11.92,
107,Í2,70.05,
107,Í3,101.38,
107,Í4,63.10,
107,Í7,407.70,
107,Í9.1,7.81,
107,Í10.1,0.19,
107,Í12,1.72,
121,Í1,58.69,
121,Í2,121.00,
121,Í3,132.27,
121,Í4,8.94,
121,Í7,90.11,
121,Í9.1,4.49,
121,Í10.1,0.09,
121,Í12,0.18,
138,Í1,11.93,
138,Í2,36.97,
138,Í3,83.73,
138,Í4,82.53,
138,Í7,303.58,
138,Í9.1,0.00,
138,Í10.1,0.77,
138,Í12,0.00,
142,Í1,88.83,
142,Í2,134.47,
142,Í3,148.51,
142,Í4,45.39,
142,Í7,29.36,
142,Í9.1,3.06,
142,Í10.1,2.74,
142,Í12,0.00,
149,Í1,88.38,
149,Í2,274.24,
149,Í3,278.36,
149,Í4,52.73,
149,Í7,11.80,
149,Í9.1,0.00,
149,Í10.1,0.00,
149,Í12,0.00,
153,Í1,15.84,
153,Í2,90.47,
153,Í3,101.38,
153,Í4,60.66,
153,Í7,325.30,
153,Í9.1,2.89,
153,Í10.1,1.37,
153,Í12,0.00,
155,Í1,32.81,
155,Í2,32.67,
155,Í3,109.93,
155,Í4,12.49,
155,Í7,86.76,
155,Í9.1,0.00,
155,Í10.1,0.00,
155,Í12,0.00,
170,Í1,124.67,
170,Í2,3907.93,
170,Í3,10081.61,
170,Í4,4.93,
170,Í7,32.86,
170,Í9.1,26.26,
170,Í10.1,0.00,
170,Í12,0.00,
184,Í1,61.42,
184,Í2,222.36,
184,Í3,223.49,
184,Í4,10.50,
184,Í7,75.29,
184,Í9.1,0.00,
184,Í10.1,0.00,
184,Í12,0.02,
197,Í1,10.40,
197,Í2,25.68,
197,Í3,70.80,
197,Í4,87.96,
197,Í7,533.86,
197,Í9.1,0.06,
197,Í10.1,0.97,
197,Í12,0.01,
208,Í1,35.61,
208,Í2,55.18,
208,Í3,91.11,
208,Í4,41.14,
208,Í7,103.60,
208,Í9.1,0.00,
208,Í10.1,0.69,
208,Í12,0.00,
210,Í1,11.07,
210,Í2,35.54,
210,Í3,84.47,
210,Í4,76.35,
210,Í7,632.77,
210,Í9.1,0.00,
210,Í10.1,0.79,
210,Í12,0.00,
212,Í1,11.72,
212,Í2,115.90,
212,Í3,126.46,
212,Í4,39.20,
212,Í7,490.75,
212,Í9.1,0.36,
212,Í10.1,0.61,
212,Í12,0.00,
226,Í1,13.14,
226,Í2,189.71,
226,Í3,250.92,
226,Í4,67.69,
226,Í7,415.96,
226,Í9.1,0.00,
226,Í10.1,0.26,
226,Í12,0.00,
232,Í1,12.39,
232,Í2,37.46,
232,Í3,62.05,
232,Í4,97.97,
232,Í7,423.84,
232,Í9.1,0.00,
232,Í10.1,1.45,
232,Í12,0.00,
236,Í1,50.56,
236,Í2,68.26,
236,Í3,84.15,
236,Í4,36.08,
236,Í7,79.94,
236,Í9.1,2.37,
236,Í10.1,2.47,
236,Í12,0.00,
249,Í1,11.82,
249,Í2,59.48,
249,Í3,100.48,
249,Í4,86.78,
249,Í7,283.58,
249,Í9.1,4.37,
249,Í10.1,1.30,
249,Í12,4.37,
254,Í1,13.37,
254,Í2,42.94,
254,Í3,96.04,
254,Í4,39.34,
254,Í7,258.10,
254,Í9.1,0.00,
254,Í10.1,1.83,
254,Í12,0.00,
256,Í1,21.30,
