REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_5
684,71,09309182,1028600003410,684,047144860,2/1/2011,"ООО КБ ""Сургутский Центральный""","628408, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Сургут, ул. Энгельса, 12",Председатель Правления,Ясюнас Л.Ф.,Главный бухгалтер,Кондратюк С.И.,Ведущий экономист ОАПиО,Сапунцова О.Н.,51-76-58,15
685,45,09243164,1026000001983,685,044583412,2/1/2011,"ОАО КБ ""РусьРегионБанк""","119049, г. Москва, Калужская площадь., д. 1, корп. 1",Председатель Правления,Жариков Д.И.,Главный бухгалтер,Пирогова И. Ю.,Главный бухгалтер,Пирогова И.Ю.,230-39-69,18
695,83,09128018,1020700000496,695,048327741,2/1/2011,"Банк ""Нальчик"" ООО","360051, Кабардино-Балкарская республика, г.Нальчик, ул. Толстого,77",Председатель Правления,Эндреев Б.А.,Главный бухгалтер,Алехина Г.П.,Исполнитель,Жеттеева Л.М.,77-45-36,15
696,53,09284341,1025600000865,696,045339827,2/1/2011,"ОАО АКБ ""Орскиндустриябанк""","462431, Оренбургская обл., г. Орск, просп. Ленина, 75а",Председатель правления,Дмитриева О.П.,Главный бухгалтер,Татарнович В.П.,Экономист,Еськина Ю.В.,(3537)21-43-24,15
702,53,09284542,1025600001679,702,045354814,2/1/2011,"ОАО ""НИКО-БАНК""","460000, Оренбургская область, г. Оренбург, пер. Алексеевский, 5",Председатель Правления,Сивелькина С.В.,Главный бухгалтер,Литвинова Т.В.,Ведущий специалист,Ревкова Ю.Ю.,31-79-16 (1085),20
704,53,09284565,1025600001217,704,045354886,2/1/2011,"ОИКБ ""Русь"" (ООО)","460000, Оренбургская область, г. Оренбург, пер.Шевченко, 7",Председатель Правления,Губанов Алексей Анатольевич,Заместитель главного бухгалтера,Маценко Ольга Владимировна,Исполнитель,Анпилогова Екатерина Владимировна,780985(вн.228),20
705,65,09320752,1026600000460,705,046577756,2/1/2011,"ОАО ""СКБ-банк""","620219, г.Екатеринбург,ул. Куйбышева, 75",Заместитель Председателя Правления,Репников Д. П.,Главный бухгалтер,Морозов О. В.,Старший специалист,Климова С. С.,261-60-20,23
708,92,40654987,1021600000014,708,049205844,2/1/2011,"ООО КБЭР ""Банк Казани""","420066, г.Казань, ул.Солдатская, д.1",Заместитель Председателя Правления,С.С. Скобельников,Заместитель главного бухгалтера,И.В. Гурьянова,Начальник отдела финансовой отчетности и экономического анализа,Э.Л. Зарипова,527-86-73,15
709,71,09320798,1028900000073,709,047169702,2/1/2011,"ОАО Банк ""Пурпе""","628606, Тюменская обл., Ханты-Мансийский автономный округ-Югра, г. Нижневартовск, мкр. 9, ул. Мусы Джалиля, дом 9.",Председатель Правления,Франц Сергей Викторович,Главный бухгалтер,Вечкасова Ольга Игоревна,Начальник ПЭО,Демина М.Г.,(3466) 410002 250463,15
715,82,40760933,1020500001928,715,048230716,2/1/2011,"КБ ""МАГАРАМКЕНТ"" ООО","368788, Республика Дагестан, Магарамкентский р-он, село Магарамкент, ул. Гагарина, 4",Председатель Правления,Мирземагомедов Нурмагомед Гусейнович,Главный Бухгалтер,Бабаева Д.А.,Гл.Бухгалтер,Бабаева Д.А.,2-10-07,15
720,41,25855470,1024700000071,720,044109722,2/1/2011,"ОАО ""Выборг-банк""","188800 Ленинградская область, город Выборг, улица Пионерская, дом 2",Председатель Правления,Тучина А.В.,Гл. бухгалтер,Самохвалова М.А.,Нач. экономического отдела,Балашова М.А.,(81378)25775,31
728,92,09265198,1021600002500,728,049205708,2/1/2011,"ООО ""ТАТАГРОПРОМБАНК""","420097, Республика Татарстан, г.Казань, ул.Зинина, д.4",Председатель Правления,Юшканцев А.Д.,Главный бухгалтер,Каргаполова Т. П.,Зам. начальника ОАУР,Мельникова Е. В.,(843)519-32-96,22
732,22,09116810,1025200000352,732,042282751,2/1/2011,"ОАО КБ ""Ассоциация""","603000, г.Нижний Новгород, ул.М.Горького, 61",Первый зам. Председателя Правления,Митропольский О.В.,Главный бухгалтер,Максимова М.В.,Специалист,Богорадова И.В.,433 00 70,15
735,38,09155046,1024600001458,735,043807708,2/1/2011,"ОАО ""Курскпромбанк""","305000, г.Курск, ул.Ленина, 13",И.О.Председателя Правления,Костилов Евгений Геннадьевич,Главный бухгалтер,Репринцева Лариса Васильевна,ведущий экономист,Степанова Г.Г.,703703 (174),19
749,82,09121314,1020500000400,749-К,048209861,2/1/2011,"Кизилюртовская РНКО ""Сулак"" ООО","368120,  Республика Дагестан, г.Кизилюрт,  ул.  Гагарина, 105",Председатель Правления,Магомедов А.Г.,Главный бухгалтер,Курбанова М.М.,Начальник ПОД/ФТ,Султаналиев М. М.,2-23-64,15
752,89,9188382,1021300001656,752,048952729,2/1/2011,"ОАО КБ ""МПСБ""","430005, г.Саранск, ул.Б.Хмельницкого, 36-а",Председатель Правления,Воробьев Ю.А.,И.О. главного бухгалтера,Орешина Е.В.,Зам. начальника аналитического отдела,Бахметова И.В.,29-78-49,15
766,40,09306321,1033501068941,766,044030807,2/1/2011,"АКБ ""Северо-Западный 1 Альянс Банк"" ОАО","191123, г. Санкт-Петербург, ул. Радищева, д. 39, лит. Д",И.о. Председателя Правления,Николаев О.М.,Зам. Главного бухгалтера,Рипа Л.В.,Начальник отдела отчетности,Дронина И. А.,458-89-47(доб.118),19
777,28,09131011,1026900001765,777,042809707,2/1/2011,"ОАО ""Тверьуниверсалбанк""","170100, г.Тверь, ул.Володарского, 34",И.о. президента,Стефанова И.В.,Главный бухгалтер,Бордина Е.Ф.,"Контролер РЦБ, главный экономист управления мониторинга и оценки банковских рисков",Шелогурова М.М.,(4822) 35-95-27,25
779,07,09231190,1022600000114,779,040724712,2/1/2011,"ООО ""РУСБС""","357350, Ставропольский край, Предгорный район, ст. Ессентукская, ул. Гагарина, 148",Руководитель,Арзиманова В.С.,Главный бухгалтер,Шилова Л.И.,Исполнитель,Попова Г.Ф.,(87961)5-18-54,19
783,08,09271054,1022700000685,783,040825773,2/1/2011,"ОАО ""Роял Кредит Банк""","681000,  Хабаровский край, г.Комсомольск-на-Амуре, ул.Партизанская,15",Председатель правления,Т.В. Ненкина,Главный бухгалтер,М.М. Плеханова,Экономист,Мурзаева О.А.,54-57-20,21
784,57,09185544,1025900000488,784,045773764,2/1/2011,"ОАО АКБ ""Перминвестбанк""","614010, г. Пермь, Комсомольский проспект, 80",Председатель Правления,В.Э. Белоз?ров,Главный бухгалтер,Е.А. Гуреева,Начальник отдела финансовой отчетности и анализа,Е.А. Дрягина,(342) 27-000-32 (доб.137),18
790,03,09801931,1022300003186,790,040313716,2/1/2011,"ОАО ""Геленджик-Банк""","353460, Краснодарский край, г. Геленджик, ул. Островского, 31",Председатель Правления ОАО Геленджик-Банк,Калайджи И.Г.,Главный бухгалтер,Андронова Г.И.,экономист 1 кат.,Лузан К.А.,(86141)40131,22
793,82,49192608,1020500000443,793,048209748,2/1/2011,"ООО КБ ""КРЕДО ФИНАНС""","367029, Республика Дагестан, г.Махачкала, ул.С.М. Абубакарова, 115",Председатель правления,Абдурашидов О.А.,Главный бухгалтер,Сайпулаев С.М.,зам. главного бухгалтера,Абдуллаева Л.М.,649241,15
804,49,09316087,1025300000175,804,044959775,2/1/2011,"ЗАО ""НКБ ""СЛАВЯНБАНК""","173004  Новгородская обл., г.Великий Новгород, ул.Черемнова-Конюхова, д.12",Председатель Правления,Титов В.И.,Главный бухгалтер,Зенкевич Н.А.,Зам. начальника ПЭО,Родин А.В.,66-52-53,15
812,65,09253642,1026600001779,812,046551767,2/1/2011,"ОАО ""Уралтрансбанк""","620027, г.Екатеринбург, ул. Мельковская, 2 ""Б""",Зам.Председателя Правления,Е.Б. Козловская,Главный бухгалтер,Е.Ю. Кимова,Начальник отдела,Т.А.Гайдук,370-15-90,15
817,92,09265674,1021600000586,817,049205772,2/1/2011,"АКБ ""Заречье"" (ОАО)","420032, г.Казань, ул.Лукницкого, д.2",Вице-президент,Одинцова Е.И.,Главный бухгалтер,Тычкина О.И.,Исполнитель,Морозова Л.Н.,557-59-21,15
825,98,09287316,1021400001292,825,049849762,2/1/2011,"НКБ ""Нерюнгрибанк"" (ООО)","678960, Республика Саха (Якутия), г. Нерюнгри, проспект Дружбы народов, 29/4",Председатель Правления,Дмитриева О.А.,Главный бухгалтер,Пермина Л.Н.,Начальник отдела отчетности,Мажурина И.П.,7-68-87,23
826,01,9316294,1022200529537,826,040173749,2/1/2011,"ООО ""КБ ""Тальменка-банк""","656037, Алтайский край, г.Барнаул, пр.Ленина, 156-а","Председатель Правления ООО ""КБ ""Тальменкa-Банк""",Кунаева Т.Н.,"Главный бухгалтер ООО ""КБ ""Тальменка-Банк""",Дубовцева Н.Г.,Экономист,Маслаков А.В.,500-359,15
836,73,09790127,1027300534690,836,047311818,2/1/2011,"ЗАО ""РКБ""","433510, Ульяновская область, г. Димитровград, ул. Самарская, дом 4",Заместитель Председателя Правления,Кувшинова И.П.,Главный бухгалтер,Сагдеева О.В.,Экономист,Раштвина Л.Ш.,8423541917,15
840,79,09143050,1020100001899,840,047908700,2/1/2011,"ОАО АКБ ""Новация""","385011, Республика Адыгея,г.Майкоп, ул.Димитрова, д.4, корпус 1",Председатель Правления,Е.А. Мещерякова,Главный Бухгалтер,С.Д.Сайфутдинова,Зав. сектором отчетно-аналитической работы,Чермит А.Х.,568032,15
841,79,09143043,1020100002340,841,047908749,2/1/2011,"ООО ""Банк Стандарт-Кредит""","385301, Республика Адыгея, с.Красногвардейское, ул.Мира, 173a",Председатель  Правления,Терещенко Наталья Николаевна,Главный Бухгалтер,Егорова Елена Михайловна,Главный бухгалтер,Егорова Е. М.,8(87778)5-18-50,15
842,37,09153403,1024500000392,842,043735821,2/1/2011,"ООО КБ ""Кетовский""","641310, Курганская область, с.Кетово, ул.Красина, 19",Председатель Правления,Кафеев Е.У.,Главный бухгалтер,Шиманова С.Ю.,Начальник отдела экономического анализа и отчетности,Комиссаров П.Н.,8(35231)2-30-03,22
843,05,09241018,1022500000786,843,040507705,2/1/2011,"ОАО ""Дальневосточный банк""","690990, г.Владивосток, ул. Верхнепортовая, 27-а",Вице-президент,Молокова О.С.,Главный бухгалтер,Рогова О.В.,Главный специалист,Сахно Н.А.,516_465(вн.412),19
854,98,13138480,1021400001040,854,049853792,2/1/2011,"АБ ""Алданзолотобанк"" ОАО","678900, Республика Саха (Якутия), г. Алдан, улица 10 лет Якутии ,31-а",И.о. Председателя Правления,Потапова С.А.,Главный бухгалтер,Колмакова Н.И.,Специалист по оценке рисков,Алексеева И.А.,3-19-64,15
857,64,09316609,1026500538240,857,046401727,2/1/2011,"КБ ""Долинск"" (ЗАО)","693007, Сахалинская область, г. Южно-Сахалинск, пр. Мира, 119-а",Руководитель,Нестеров Д.В.,Главный бухгалтер,Терина О.А.,Гл. специалист,Ефимова Ю.В.,723683,15
860,04,09144261,1022400010005,860,040452720,2/1/2011,"КБ ""Канский"" ООО","663600, Красноярский край, г. Канск, ул.Власть Советов, 1",Председатель Правления,Гаврилова Светлана Антоновна,Главный бухгалтер,Бурмакина Светлана Владимировна,Начальник отдела отчетности,Крылова Марина Николаевна,(39161) 2-04-95,27
865,07,09231132,1022600000037,865-К,040714745,2/1/2011,"НКО ""Ассигнация"" ООО","356630, Ставропольский край, г.Ипатово, ул.Гагарина, 67",Председатель Правления,Лоза Л.П.,Главный бухгалтер,Еременко Н.И.,Исполнитель,Еременко Н.И.,(86542)58576,15
874,83,09128115,1020700000617,874,048341752,2/1/2011,"Банк ""Прохладный"" ООО","361045, Кабардино-Балкарская республика, г.  Прохладный, ул.Ленина, 115",Председатель правления,Черешкова О.Н.,Главный Бухгалтер,Иваненко В.Н.,начальник отдела,Рудаков Д.Е.,4-61-12,15
875,57,0918546,1025900000510,875,045773756,2/1/2011,"ОАО АКБ ""Пермь""","614000, г. Пермь,  ул. Куйбышева, 10",Председатель Правления,Саранская Л.В.,Главный бухгалтер,Утятников А.Г.,Экономист,Вопилова С.С.,(342) 291-03-53,15
880,71,09268709,1028600001770,880,047169779,2/1/2011,"ОАО АКБ ""ЮГРА""","628685, Тюменская обл., Ханты-Мансийский автономный округ - Югра, г. Мегион, ул. Кузьмина, 16",Заместитель Председателя Правления,Ошека А.В.,Заместитель Главного бухгалтера,Ириневич О.В.,Вед.экономист УАиО,Хуснутдинова А.Ф.,(34663) 4-79-35,27
889,92,09265763,1021600000597,889,049209778,2/1/2011,"""АНКОР БАНК"" (ОАО)","420101, г.Казань, ул. Братьев Касимовых, 47",И.О. Председателя Правления,Куликов О.В.,Главный бухгалтер,Мешалкина О.Л.,Начальник отдела отчетно,Корезина Г.Р.,224-72-40,15
901,19,09108414,1023500002404,901,041946747,2/1/2011,"ОАО ""Меткомбанк""","162623, Вологодская обл., г.Череповец, ул. Краснодонцев, 57А",Зам.Председателя Правления,Шилов Д.А.,Главный бухгалтер,Стронская С.В.,Исполнитель,Федотова О.А.,(8202) 535332,24
902,33,09136304,1024300004739,902,043304728,2/1/2011,"АКБ ""Вятка-банк"" ОАО","610000, г.Киров, ул. Энгельса, 4",Президент,Зотин О.В.,Главный бухгалтер,Караблинова Г.В.,экономист,Злобина В.Н.,65-04-78,23
903,17,09109307,1023300000063,903,041708706,2/1/2011,"ЗАО ""Владбизнесбанк""","600015, г.Владимир, пр-т Ленина,35",Зам. Председателя Правления,Соловьев С. В.,Гл.бухгалтер,Антропова И.Г.,Экономист,Зирина С.Н.,54-19-83,30
912,45,09317135,1027739179160,912,044525600,2/1/2011,"ОАО ""МИнБ""","115419,  г. Москва, ул.Орджоникидзе, д.5",Вице-президент,Добрин Д.Л.,Зам. главного бухгалтера - зам. начальника Управления бухгалтерского учета и отчетности,Ванифатова Г.В.,Зам. начальника отдела,Баранова Н.В.,735-41-99,31
914,28,09131057,1026900000016,914,042809701,2/1/2011,"КБ ""КБЦ"" /ООО/","170100, г. Тверь, улица Малая Самара, дом 9, корпус 1",Председатель правления,В.Н. Терентьева,Главный бухгалтер,М.Д. Григоращенко,Начальник,Гаврилова Е.В.,35-85-91,15
917,71,09317187,1027200000080,917,047102885,2/1/2011,"ЗАО ""ТЮМЕНЬАГРОПРОМБАНК""","625023, Тюменская область, г. Тюмень, ул. Одесская, 33",И.о.директора,Фоменко С.А.,Главный бухгалтер,Сергеева Л.Г.,Исполнитель,Чистякова А.С.,41-28-49,18
918,71,09268282,1028900001460,918,047130639,2/1/2011,"""Запсибкомбанк"" ОАО","625000, Тюменская область, г. Тюмень,  ул. 8-е Марта, 1",Руководитель,Горицкий Д.Ю.,Главный бухгалтер,Котова Г.А.,Исполнитель            Ведущий зкономист,Пелымская В.И.,25-73-23,31
927,24,09123046,1023700000169,927,042406707,2/1/2011,"АКБ ""Акция"" ОАО","153000, г.Иваново, ул.Ташкентская, 14",Председатель правления,Хаченков С.И.,Главный бухгалтер,Куроед О.Ю.,Специалист отдела отчетности,Шишкова О.В.,32-87-69,15
930,45,09108437,1027739306638,930,044599749,2/1/2011,"ЗАО ""Новый Промышленный Банк""","109028, г. Москва, Покровский бульвар, д.6/20, стр.2",Председатель Правления,Исмагилов Р.Г.,Главный бухгалтер,Соловьева О.В.,Начальник отдела отчетности,Солодкова Т.Н.,989-47-01,15
931,63,12237925,1026400001858,931,046311751,2/1/2011,"ОАО ""НВКбанк""","410012, г. Саратов, ул.Рахова В.Г., д. 129",И.о.Председателя Правления,Кравцев Владимир Алексеевич,Главный бухгалтер,Пакина Алла Алексеевна,начальник ОСО,Шепель Евгения Валерьевна,"37-90-16,доп.251",15
933,28,09131554,1026900000170,933,042854751,2/1/2011,"ОАО КБ ""Торжокуниверсалбанк""","172002, Тверская область, г.Торжок, площадь Ананьина, дом 3",Председатель Правления,Г.В.Уткина,Главный бухгалтер,О.Е.Мишина,Исполнитель,Калинина Е.В.,(48251)-9-22-86,19
937,45,09251146,1026400001803,937,044552706,2/1/2011,"ЗАО ""ОРБАНК""","115280, г. Москва, ул. Ленинская Слобода, д. 19, стр. 32",Председатель Правления,Черников Ю.С.,Главный бухгалтер,Ерофеева Е.Н.,Начальник Управления планирования и отчетности,Колбас Ж.М.,771-71-01,15
948,45,09317460,1027739109914,948,044525209,2/1/2011,"ЗАО ""МОССТРОЙЭКОНОМБАНК""","117393,  г. Москва, ул. Профсоюзная, д. 78, стр. 1",Председатель Правления,Гуськов А.Б.,Главный бухгалтер,Камерист Л.И.,Начальник отдела финансовой отчетности,Санжаревская О.Г.,787-38-38 (доб.232),31
963,34,9139030,1024400001779,963,043469743,2/1/2011,"ООО ИКБ ""Совкомбанк""","156000, г. Кострома, пр. Текстильщиков, д. 46",Заместитель Председателя Правления банка,Голубев С.И.,Главный бухгалтер,Христенок М.И.,Исполнитель,Адаев Б.В.,988-00-00,31
965,65,09253317,1026600001823,965,046524721,2/1/2011,"ЗАО ""ПЕРВОУРАЛЬСКБАНК""","623109, Свердловская область, г.Первоуральск, пр. Ильича, 9 б","Председатель Правления ЗАО ""Первоуральскбанк""",Романов М.С.,Главный бухгалтер,Метелева А.М.,экономист,Огородникова Е.В.,(3439)-64-15-43,31
969,45,09282017,1027500001100,969,044579708,2/1/2011,"ОАО ""Евразийский банк""","101000, г. Москва, Кривоколенный пер., д. 12, стр. 1",Председатель Правления,Петросьян Андрей Рубенович,Главный бухгалтер,Куракина Татьяна Александровна,Начальник Отдела отчетности и анализа,Казакова Ольга Владимировна,2879966,15
970,34,9139125,1024400003209,970,043469710,2/1/2011,"ООО КБ ""Конфидэнс Банк""","156000, г. Кострома, пр. Мира, д. 113",Председатель Правления,Казакова Е. П.,Главный бухгалтер,Семенова О.А.,Зам. начальника отдела ФЭА иК,Лепетень С.П.,45-50-22(ДОБ.121),21
990,71,09317827,1027200000013,990,047106730,2/1/2011,"ООО КБ ""Дружба""","625023, Тюменская область, г. Тюмень, ул. Одесская, 27",Председатель правления,Торопова Т.В.,Главный бухгалтер,Калинина Г.А.,Зам.председателя правления,Кобяшева Н.Г.,41-46-71,15
991,80,16799712,1020280000014,991,048073855,2/1/2011,"ОАО ""АФ Банк""","450057, Республика Башкортостан, город Уфа, улица Октябрьской революции, 78",Первый заместитель Председателя Правления,Нигаматьянов А.А.,Главный бухгалтер,Зубарева М.Г.,Исполнитель,Камалетдинова Р.Х.,2911-303,22
992,19,09108064,1023500000040,992,041909717,2/1/2011,"ЗАО Банк ""Вологдабанк""","160001, г.Вологда, ул. Мира, д. 36",Председатель Правления,А.П.Уткин,Главный бухгалтер,А.Н.Каташ,"Зам.начальника отдела экономического анализа, планирования",Сыченова А.Л.,72-15-78,15
1000,40,00032520,1027739609391,1000,044525187,2/1/2011,ОАО Банк ВТБ,"190000, г. Санкт-Петербург, ул. Большая Морская, 29",Заместитель Президента-Председателя Правления,Г.В.Солдатенков,Заместитель главного бухгалтера,С.В.Лотвин,главный специалист,Кожекина М.А.,775-54-54 (1-49-66),15
1002,19,09108420,1033501065730,1002,041946748,2/1/2011,"ОАО Комсоцбанк ""Бумеранг""","162602, Вологодская обл., г.Череповец, ул. Коммунистов д. 22",Председатель правления,Сикорский Валерий Владимирович,Главный бухгалтер,Красноборова Ирина Николаевна,экономист,Каспирович Е.В.,(8202) 51-97-57,15
1003,41,12187601,1026200000837,1003,044106741,2/1/2011,"""СПОРТИНВЕСТБАНК"" ООО","188662, Ленинградская область, Всеволожский район, п.Мурино, ул. Центральная, д.46",Первый Зам. Председателя Правления,Сухов И.З.,Зам. главного бухгалтера,Заикина О.Ю.,Ведущий специалист,Гущенко Н.А.,318-53-74,15
1006,80,09105806,1020280000070,1006,048073747,2/1/2011,"ОАО ""Башпромбанк""","450015, Российская Федерация, Республика Башкортостан, г.Уфа, ул. Революционная, д.43",Заместитель Председателя Правления,Гайнетдинова Э.Н.,Главный бухгалтер,Гилязетдинов И.С.,Ведущий бухгалтер,Ахметова А.И.,273-62-47,15
1016,97,09286216,1022100000120,1016,049706749,2/1/2011,"""Объединенный банк Республики"" (ООО)","428010, Чувашская Республика, г.Чебоксары, Коммунальная слобода, 25""а""",Председатель Правления,Иливанов В.П.,Главный бухгалтер,Медогонова Г.Д.,Зам. гл. бухгалтера,Сытин В.А.,344811,15
1019,36,21231784,1026300002233,1019,043678763,2/1/2011,"ООО ""ПотенциалБанк""","445350, Самарская обл., г.Жигулевск, ул.Ленинградская, 7",Руководитель,Иванов И.В.,Главный бухгалтер,Даминова В.В.,Экономист,Толстогузов А.Н.,(8482)343854,20
1025,84,16250087,1020400000070,1025,048405713,2/1/2011,"ООО КБ ""Эл банк""","649000 , Республика Алтай , г.Горно-Алтайск , ул.Э.Палкина,2",Руководитель,Гордеева А.М.,Главный бухгалтер,Чеканцева И.В.,Исполнитель,Зырянова А.М.,2-77-58,15
1027,12,09104296,1023000000210,1027,041203729,2/1/2011,ОАО ВКАБАНК,414000 г.Астрахань ул.Ленина 20,Президент ОАО ВКАБАНК,Сухоруков В.П.,Главный бухгалтер,Ломова Л.Н.,Ведущий экономист,Коняева Л. И.,392971,25
1035,85,09232309,1020800758681,1035,048580724,2/1/2011,"ОАО ККБ ""КРЕДИТБАНК""","358000, Республика Калмыкия, г. Элиста, ул. Нейман, 3а",1-й Зам. генерального директора,Помпаева С.П.,Главный бухгалтер,Касаева Е.Ц-У.,Ст. Инспектор,Наминова Ю.Э.,4-04-18,18
1037,84,16250070,1020400000400,1037,048405712,2/1/2011,"ООО КБ ""Майма""","649000, Республика Алтай, г.Горно-Алтайск, ул.Чорос-Гуркина, 29",Генеральный директор,Р.В. Бабаев,Главный бухгалтер,О.В. Кабардина,Главный специалист по управлению рисками,Вирц Н.В.,2-28-60,15
1043,46,09211551,1025000000090,1043,044695151,2/1/2011,"ЗАО ""Промсбербанк""","142110, Московская область, г. Подольск, ул. Кирова, д.19",ПРЕДСЕДАТЕЛЬ  ПРАВЛЕНИЯ,БАРАНОВА  В.Л.,ГЛАВНЫЙ БУХГАЛТЕР,КОВАЛЕВА В.В.,Начальник финансового управления,ЛАВРУЩЕВА О.Н.,933-58-06,15
1046,28,09131235,1026900001347,1046,042822729,2/1/2011,"ООО КБ ""Гефест""","171506, Тверская область, г.Кимры, ул.Урицкого, д. 19",Председатель Правления,Шамратова Т.Е.,Главный бухгалтер,Простухина Ю.М.,Исполнитель,Ефимова Т.В.,3-11-75,15
1049,95,46224302,1021900002563,1049,049514745,2/1/2011,"ООО ""Хакасский муниципальный банк""","655017, Республика Хакасия, г.Абакан, ул.Хакасская, 73",Председатель правления,Сидорова О.Н.,Главный бухгалтер,Шиленко Н.В.,Исполнитель,Саркина Э.А.,34-34-52,28
1050,14,09803255,1023100000857,1050,041424725,2/1/2011,"ООО ""Осколбанк""","309511, Белгородская область, г. Старый Оскол, мкр. Олимпийский, 62",Председатель правления,Резникова Е.М.,Главный бухгалтер,Плутахина Е.Н.,Ведущий специалист ПЭО,Кожевникова Е.Н.,(4725)44-98-76,15
1052,45,09141558,1077711000080,1052,044579273,2/1/2011,"""МТИ-Банк"" (ЗАО)","119530, г. Москва, Очаковское шоссе, д. 32",И.о.Председателя Правления,Юренко Н.А.,Главный бухгалтер,Старшинина М.Д.,Начальник ОУНиО,Карабанова О.М.,442-30-83,15
1053,45,09107126,1027739326306,1053,044583547,2/1/2011,"КБ ""Финансовый стандарт"" (ООО)","127287, г. Москва, Старый Петровско-Разумовский проезд, д. 2 А, стр. 1",Председатель Правления,Лысенко Ю.А.,Главный бухгалтер,Убеева Ю.Ю.,Начальник отдела отчетности,Маринина О.Н.,(495) 287-95-35,31
1059,45,09286311,1027739435668,1059,044579721,2/1/2011,"КБ ""МРБ"" (ООО)""","109341, г. Москва, ул. Люблинская, д. 151",Председатель Правления,Леонова Л. Д.,Главный бухгалтер,Коробова В.А.,Начальник Отдела отчетности,Ковалева Н.А.,921-19-94,15
1060,97,09286274,1022100008325,1060,049706717,2/1/2011,"КБ ""БДБ"" (ООО)","429060, Чувашская Республика, г.Ядрин, ул.Красноармейская, 5",Руководитель,Ерзин К.Н.,Главный бухгалтер,Погодина Н.В.,Ведущий специалист кредитного отдела,Михуткина Г.Д.,22-5-65,20
1067,25,09125424,1023800000124,1067,042520706,2/1/2011,"ОАО ""БайкалИнвестБанк""","664007, Иркутская область, г. Иркутск, ул. Октябрьской Революции, 5",И.о.Председателя Правления,П.Ю. Зорин,Главный бухгалтер,О.К. Ситникова,Руководитель сектора контроля за рисками,Л.В. Коваленко,25-88-00,15
1068,40,09282454,1097800006589,1068,044030885,2/1/2011,"ОАО ""Невский банк""","196084, Санкт-Петербург, ул. Киевская, 5 корп. 3",Председатель правления,Васильев В.Н.,Главный бухгалтер,Перелетова Е.В.,Начальник отдела,Федотова Н.Ю.,252-09-18,15
1071,53,09284683,1025600006024,1071,045318806,2/1/2011,"ОАО КБ ""Спутник""","461630, Оренбургская обл., г. Бугуруслан, ул. Фрунзе, 103",Руководитель,Крейк И.А.,Главный бухгалтер,Кудашева О.В.,Экономист,Давыдова И.С.,8(35352)33085,30
1073,45,09318608,1027739837366,1073,044552685,2/1/2011,"АКБ ""РУССЛАВБАНК"" (ЗАО)","119049,  г. Москва, ул. Донская, д.14. стр. 2",Заместитель Председателя Правления,Блудов Сергей Михайлович,Заместитель главного бухгалтера,Соловьева Екатерина Владимировна,Главный экономист Отдела отчетности,Кузнецова Ольга Евгеньевна,237-25-90,15
1084,78,09288304,1027600000185,1084,047885715,2/1/2011,"ОАО КБ ""Верхневолжский""","152903, Ярославская область, г.Рыбинск, ул.Братьев Орловых, 1а",Председатель Правления,Тимофеева Н.В.,Главный бухгалтер,Фомичева Е.Н.,Начальник отд. отч?тности,Кисел?ва И.Н.,8(4855) 21-34-71,15
1087,12,34411588,1023001538340,1087,041203711,2/1/2011,"ОАО ""Консервативный КБ""","414040, г. Астрахань, ул. Адмиралтейская, 47",Председатель Правления,Коцюбинская Е.М.,Главный бухгалтер,Вакурова Н.Г.,Заместитель Председателя Правления,Тутаринов Н.А.,777-854,22
1088,45,09287581,1027739534052,1088,044552514,2/1/2011,"КБ ""МАК-банк"" (ООО)","119180,  г. Москва, ул. Большая Якиманка, д. 23",Зам. Председателя  Правления,Скляров Ю.М.,Главный бухгалтер,Журавлев Н.П.,Нач.Управления сводной отчетности,Сердюк Э.В.,238-48-86,15
1093,78,09288250,1027600000020,1093,047888744,2/1/2011,"ОАО КБ ""ЯРОСЛАВИЧ""","150000, г.Ярославль, ул.Собинова, 31/6",Президент банка,Т.В.Щеголева,Главный бухгалтер,Т.Б.Микрюкова,Начальник отдела,Николаева С.Н.,30-25-44,19
1114,22,09116282,1025200000198,1114,042274756,2/1/2011,"ОАО Комбанк ""Химик""","606008, Нижегородская область, г.Дзержинск, улица Урицкого, 10 - Б",Председатель Правления,Вихарев Н.П.,Главный бухгалтер,Гречиха Д.А.,Зам. начальника отдела,Кресова И.А.,(8313)260143,15
1115,34,9139194,1024400003858,1115,043469720,2/1/2011,"ООО ""Костромаселькомбанк""","156013, г. Кострома, ул. Калиновская, 36",Председатель Правления банка,Жердев Алексей Александрович,Главный бухгалтер,Веселова Анна Николаевна,старший экономист,Курчин А.В.,49-07-40,15
1118,17,09116419,1025200000330,1118,041718737,2/1/2011,"ОАО комбанк ""Окский""","601650, Владимирская область, г. Александров, ул. Октябрьская, 14, к. 305","Заместитель председателя правления ОАО комбанк ""Окский""",Л.П. Малыгина,Главный бухгалтер,А.К. Полуенова,Начальник отдела экономического анализа и отчетности,Е.С. Стексова,2-43-28,15
