REGN,C1_3,C2_3,C3_3
1,Í1,12.47,
1,Í2,113.39,
1,Í3,74.68,
1,Í4,88.69,
1,Í7,181.78,
1,Í9.1,0.00,
1,Ò1,1325.00,
1,Ò2,104.00,
1,Í10.1,0.22,
1,Í12,15.24,
1,Í17,76.38,
1,Í18,104.20,
1,Í19,0.00,
2,Í1,38.37,
2,Í2,16.58,
2,Í3,61.97,
2,Í4,73.27,
2,Í7,160.40,
2,Í9.1,0.10,
2,Í10.1,0.06,
2,Í12,0.00,
5,Í1,13.00,
5,Í2,69.28,
5,Í3,97.25,
5,Í4,65.69,
5,Í7,304.70,
5,Í9.1,1.32,
5,Í10.1,1.97,
5,Í12,0.00,
18,Í1,10.01,
18,Í2,78.48,
18,Í3,71.88,
18,Í4,59.03,
18,Í7,416.03,
18,Í9.1,0.00,
18,Í10.1,1.77,
18,Í12,0.00,
21,Í1,23.56,
21,Í2,85.66,
21,Í3,102.46,
21,Í4,92.97,
21,Í7,178.98,
21,Í9.1,0.00,
21,Í10.1,1.87,
21,Í12,0.00,
23,Í1,13.16,
23,Í2,48.46,
23,Í3,129.98,
23,Í4,47.73,
23,Í7,565.25,
23,Í9.1,0.01,
23,Í10.1,0.74,
23,Í12,0.00,
52,Í1,11.66,
52,Í2,61.33,
52,Í3,67.71,
52,Í4,85.74,
52,Í7,428.91,
52,Í9.1,0.03,
52,Í10.1,1.56,
52,Í12,0.00,
53,Í1,12.32,
53,Í2,38.68,
53,Í3,83.67,
53,Í4,54.23,
53,Í7,518.50,
53,Í9.1,0.04,
53,Í10.1,1.14,
53,Í12,0.00,
55,Í1,14.96,
55,Í2,59.95,
55,Í3,70.74,
55,Í4,84.18,
55,Í7,297.55,
55,Í9.1,4.51,
55,Í10.1,0.63,
55,Í12,0.00,
65,Í1,14.82,
65,Í2,42.89,
65,Í3,67.72,
65,Í4,67.29,
65,Í7,273.26,
65,Í9.1,0.00,
65,Í10.1,1.93,
65,Í12,0.00,
67,Í1,22.08,
67,Í2,28.99,
67,Í3,56.10,
67,Í4,115.29,
67,Í7,234.03,
67,Í9.1,0.00,
67,Í10.1,0.31,
67,Í12,0.00,
77,Í1,12.65,
77,Í2,45.98,
77,Í3,75.14,
77,Í4,97.37,
77,Í7,444.11,
77,Í9.1,0.00,
77,Í10.1,0.55,
77,Í12,0.50,
84,Í1,12.89,
84,Í2,50.59,
84,Í3,71.11,
84,Í4,83.71,
84,Í7,64.50,
84,Í9.1,3.78,
84,Í10.1,1.54,
84,Í12,0.00,
85,Í1,17.36,
85,Í2,51.56,
85,Í3,109.50,
85,Í4,52.63,
85,Í7,287.78,
85,Í9.1,0.00,
85,Í10.1,2.06,
85,Í12,0.00,
96,Í1,20.34,
96,Í2,58.71,
96,Í3,113.27,
96,Í4,51.11,
96,Í7,295.50,
96,Í9.1,0.00,
96,Í10.1,2.19,
96,Í12,0.00,
101,Í1,21.07,
101,Í2,37.57,
101,Í3,61.93,
101,Í4,1.52,
101,Í7,349.71,
101,Í9.1,1.86,
101,Í10.1,0.58,
101,Í12,0.00,
103,Í1,32.32,
103,Í2,26.31,
103,Í3,91.60,
103,Í4,39.17,
103,Í7,181.15,
