REGN,C1_3,C2_3,C3_3
1,Í1,12.24,
1,Í2,67.65,
1,Í3,72.69,
1,Í4,87.61,
1,Í7,195.98,
1,Í9.1,0.00,
1,Ò1,1312.00,
1,Ò2,100.00,
1,Í10.1,0.20,
1,Í12,14.46,
1,Í17,72.72,
1,Í18,100.42,
1,Í19,0.00,
2,Í1,37.96,
2,Í2,25.41,
2,Í3,63.43,
2,Í4,85.39,
2,Í7,158.61,
2,Í9.1,0.10,
2,Í10.1,0.06,
2,Í12,0.00,
5,Í1,12.00,
5,Í2,70.22,
5,Í3,94.61,
5,Í4,56.59,
5,Í7,321.33,
5,Í9.1,1.18,
5,Í10.1,2.09,
5,Í12,0.00,
18,Í1,11.47,
18,Í2,46.89,
18,Í3,67.70,
18,Í4,60.99,
18,Í7,306.19,
18,Í9.1,0.00,
18,Í10.1,1.60,
18,Í12,0.00,
21,Í1,23.38,
21,Í2,73.66,
21,Í3,97.10,
21,Í4,83.22,
21,Í7,209.92,
21,Í9.1,0.00,
21,Í10.1,2.59,
21,Í12,0.00,
23,Í1,13.07,
23,Í2,28.72,
23,Í3,90.10,
23,Í4,51.26,
23,Í7,555.56,
23,Í9.1,0.01,
23,Í10.1,0.72,
23,Í12,5.73,
52,Í1,11.26,
52,Í2,51.92,
52,Í3,63.55,
52,Í4,95.83,
52,Í7,406.06,
52,Í9.1,0.06,
52,Í10.1,1.51,
52,Í12,0.00,
53,Í1,11.46,
53,Í2,45.91,
53,Í3,73.31,
53,Í4,69.96,
53,Í7,570.71,
53,Í9.1,0.04,
53,Í10.1,0.96,
53,Í12,0.00,
55,Í1,13.55,
55,Í2,52.41,
55,Í3,65.71,
55,Í4,75.40,
55,Í7,353.67,
55,Í9.1,2.82,
55,Í10.1,0.59,
55,Í12,0.00,
65,Í1,12.84,
65,Í2,52.94,
65,Í3,76.61,
65,Í4,74.14,
65,Í7,271.52,
65,Í9.1,0.00,
65,Í10.1,2.14,
65,Í12,0.00,
67,Í1,22.70,
67,Í2,20.92,
67,Í3,52.83,
67,Í4,108.32,
67,Í7,251.07,
67,Í9.1,0.00,
67,Í10.1,0.34,
67,Í12,0.00,
77,Í1,11.65,
77,Í2,58.01,
77,Í3,75.64,
77,Í4,100.30,
77,Í7,485.09,
77,Í9.1,0.00,
77,Í10.1,0.50,
77,Í12,0.44,
84,Í1,12.18,
84,Í2,57.99,
84,Í3,67.77,
84,Í4,84.02,
84,Í7,69.66,
84,Í9.1,3.76,
84,Í10.1,1.56,
84,Í12,0.00,
85,Í1,15.94,
85,Í2,82.77,
85,Í3,108.54,
85,Í4,57.94,
85,Í7,329.62,
85,Í9.1,0.00,
85,Í10.1,2.65,
85,Í12,0.00,
96,Í1,22.17,
96,Í2,98.70,
96,Í3,149.27,
96,Í4,38.74,
96,Í7,264.76,
96,Í9.1,0.00,
96,Í10.1,1.98,
96,Í12,0.00,
101,Í1,26.74,
101,Í2,46.66,
101,Í3,67.76,
101,Í4,2.63,
101,Í7,294.10,
101,Í9.1,7.88,
101,Í10.1,0.74,
101,Í12,0.00,
103,Í1,35.29,
103,Í2,46.70,
103,Í3,95.36,
103,Í4,37.70,
103,Í7,162.06,
103,Í9.1,0.00,
103,Í10.1,0.32,
103,Í12,0.00,
106,Í1,33.56,
106,Í2,68.62,
106,Í3,99.91,
106,Í4,34.33,
106,Í7,187.84,
106,Í9.1,1.13,
106,Í10.1,1.27,
107,Í1,11.67,
107,Í2,47.62,
107,Í3,73.23,
107,Í4,64.16,
107,Í7,408.93,
107,Í9.1,9.04,
107,Í10.1,0.33,
107,Í12,1.57,
121,Í1,31.74,
121,Í2,72.08,
121,Í3,93.54,
121,Í4,15.87,
121,Í7,115.65,
121,Í9.1,15.32,
121,Í10.1,0.09,
121,Í12,0.18,
138,Í1,11.03,
138,Í2,38.44,
138,Í3,66.50,
138,Í4,82.83,
138,Í7,283.25,
138,Í9.1,0.00,
138,Í10.1,0.72,
138,Í12,0.00,
142,Í1,56.64,
142,Í2,69.69,
142,Í3,84.24,
142,Í4,96.37,
142,Í7,87.64,
142,Í9.1,1.97,
142,Í10.1,2.60,
142,Í12,0.00,
149,Í1,96.24,
149,Í2,123.31,
149,Í3,328.31,
149,Í4,42.04,
149,Í7,6.47,
149,Í9.1,0.00,
149,Í10.1,0.00,
149,Í12,0.00,
153,Í1,14.26,
153,Í2,107.96,
153,Í3,122.88,
153,Í4,42.87,
153,Í7,350.69,
153,Í9.1,0.00,
153,Í10.1,1.92,
153,Í12,0.00,
155,Í1,22.85,
155,Í2,24.56,
155,Í3,82.23,
155,Í4,7.13,
155,Í7,98.91,
155,Í9.1,0.00,
155,Í10.1,0.00,
155,Í12,0.00,
170,Í1,139.93,
170,Í2,452.84,
170,Í3,552.32,
170,Í4,2.76,
170,Í7,31.38,
170,Í9.1,31.38,
170,Í10.1,0.00,
170,Í12,0.00,
184,Í1,57.21,
184,Í2,389.99,
184,Í3,473.03,
184,Í4,8.34,
184,Í7,82.79,
184,Í9.1,0.00,
184,Í10.1,0.00,
184,Í12,0.02,
197,Í1,12.37,
197,Í2,29.87,
197,Í3,62.75,
197,Í4,32.99,
197,Í7,434.67,
197,Í9.1,0.06,
197,Í10.1,0.94,
197,Í12,0.01,
208,Í1,34.32,
208,Í2,67.09,
208,Í3,65.10,
208,Í4,49.28,
208,Í7,124.02,
208,Í9.1,0.00,
208,Í10.1,0.36,
208,Í12,0.00,
210,Í1,10.28,
210,Í2,37.43,
210,Í3,58.99,
210,Í4,58.14,
210,Í7,591.71,
210,Í9.1,0.01,
210,Í10.1,2.22,
210,Í12,0.00,
212,Í1,11.15,
212,Í2,106.02,
212,Í3,110.62,
212,Í4,36.96,
212,Í7,540.76,
212,Í9.1,0.24,
212,Í10.1,0.41,
212,Í12,0.00,
226,Í1,14.02,
226,Í2,133.29,
226,Í3,109.13,
226,Í4,93.21,
226,Í7,441.71,
226,Í9.1,0.07,
226,Í10.1,0.18,
226,Í12,0.00,
232,Í1,12.20,
232,Í2,55.63,
232,Í3,78.75,
232,Í4,83.45,
232,Í7,395.35,
232,Í9.1,0.00,
232,Í10.1,2.33,
232,Í12,0.00,
236,Í1,53.32,
236,Í2,86.59,
236,Í3,71.85,
236,Í4,54.67,
236,Í7,86.90,
236,Í9.1,2.39,
236,Í10.1,2.46,
236,Í12,0.00,
249,Í1,14.54,
249,Í2,85.88,
249,Í3,128.93,
249,Í4,77.68,
249,Í7,203.95,
249,Í9.1,3.63,
249,Í10.1,1.19,
249,Í12,3.63,
254,Í1,13.74,
254,Í2,38.58,
254,Í3,108.69,
254,Í4,54.91,
254,Í7,247.51,
254,Í9.1,0.00,
254,Í10.1,1.71,
254,Í12,0.00,
256,Í1,22.01,
256,Í2,50.72,
256,Í3,91.93,
256,Í4,86.81,
256,Í7,325.93,
256,Í9.1,0.00,
256,Í10.1,0.58,
256,Í12,0.00,
272,Í1,27.32,
272,Í2,156.12,
272,Í3,146.71,
272,Í4,0.00,
272,Í7,202.58,
272,Í9.1,0.00,
272,Í10.1,1.15,
272,Í12,0.00,
282,Í1,11.39,
282,Í2,74.57,
282,Í3,85.75,
282,Í4,70.33,
282,Í7,360.46,
282,Í9.1,1.07,
282,Í10.1,1.70,
282,Í12,0.00,
286,Í1,28.62,
286,Í2,48.70,
286,Í3,62.42,
286,Í4,2.56,
286,Í7,288.41,
286,Í9.1,0.00,
286,Í10.1,0.00,
286,Í12,0.00,
312,Í1,12.26,
312,Í2,59.84,
312,Í3,111.19,
312,Í4,32.85,
312,Í7,386.56,
312,Í9.1,10.16,
312,Í10.1,1.09,
312,Í12,5.54,
316,Í1,13.26,
316,Í2,90.75,
316,Í3,194.31,
316,Í4,62.75,
316,Í7,55.98,
316,Í9.1,0.11,
316,Í10.1,0.61,
316,Í12,0.00,
323,Í1,11.75,
323,Í2,61.55,
323,Í3,85.86,
323,Í4,54.83,
323,Í7,216.16,
323,Í9.1,0.00,
323,Í10.1,1.48,
323,Í12,0.67,
324,Í1,60.82,
324,Í2,31.22,
324,Í3,217.00,
324,Í4,59.79,
324,Í7,70.25,
324,Í9.1,0.00,
324,Í10.1,0.00,
324,Í12,0.93,
328,Í1,12.64,
328,Í2,57.32,
328,Í3,70.04,
328,Í4,60.24,
328,Í7,548.70,
328,Í9.1,0.11,
328,Í10.1,0.41,
328,Í12,6.61,
330,Í1,35.48,
330,Í2,80.01,
330,Í3,170.78,
330,Í4,31.49,
330,Í7,159.37,
330,Í9.1,0.29,
330,Í10.1,0.30,
330,Í12,0.00,
347,Í1,71.24,
347,Í2,138.56,
347,Í3,146.26,
347,Í4,44.52,
347,Í7,27.77,
347,Í9.1,0.00,
347,Í10.1,0.39,
347,Í12,0.00,
356,Í1,13.28,
356,Í2,80.88,
356,Í3,120.19,
356,Í4,73.91,
356,Í7,403.06,
356,Í9.1,3.80,
356,Í10.1,2.25,
356,Í12,3.57,
370,Í1,27.04,
370,Í2,79.71,
370,Í3,88.06,
370,Í4,36.20,
370,Í7,110.99,
370,Í9.1,0.02,
370,Í10.1,1.96,
370,Í12,0.00,
384,Í1,30.97,
384,Í10.1,0.00,
384,Í12,0.00,
384,Í15,100.80,
384,Í16,0.00,
384,Í16.1,0.00,
384,Í16.2,0.00,
385,Í1,21.84,
385,Í2,45.98,
385,Í3,72.58,
385,Í4,60.06,
385,Í7,182.35,
385,Í9.1,0.00,
385,Í10.1,0.86,
385,Í12,0.05,
391,Í1,10.55,
391,Í2,48.89,
391,Í3,73.63,
391,Í4,87.66,
391,Í7,462.72,
391,Í9.1,0.02,
391,Í10.1,0.89,
391,Í12,0.00,
404,Í1,13.02,
404,Í2,68.67,
404,Í3,107.58,
404,Í4,54.32,
404,Í7,480.68,
404,Í9.1,0.00,
404,Í10.1,0.62,
410,Í1,19.24,
410,Í2,29.96,
410,Í3,63.77,
410,Í4,34.27,
410,Í7,179.74,
410,Í10.1,0.49,
429,Í1,10.50,
429,Í2,89.89,
429,Í3,69.93,
429,Í4,57.45,
429,Í7,364.23,
429,Í9.1,0.38,
429,Í10.1,0.48,
429,Í12,0.00,
430,Í1,39.85,
430,Í2,84.40,
430,Í3,96.04,
430,Í4,97.98,
430,Í7,18.19,
430,Í9.1,18.19,
430,Í10.1,0.32,
430,Í12,0.00,
435,Í1,49.31,
435,Í2,291.10,
435,Í3,599.52,
435,Í4,3.15,
435,Í7,103.79,
435,Í9.1,45.75,
435,Í10.1,0.17,
435,Í12,12.15,
436,Í1,11.86,
436,Í2,21.91,
436,Í3,63.13,
436,Í4,84.03,
436,Í7,417.38,
436,Í9.1,0.02,
436,Í10.1,0.89,
436,Í12,12.88,
438,Í1,14.86,
438,Í2,40.34,
438,Í3,60.66,
438,Í4,115.21,
438,Í7,116.02,
438,Í9.1,0.25,
438,Í10.1,1.00,
438,Í12,0.00,
444,Í1,39.96,
444,Í2,70.17,
444,Í3,97.69,
444,Í4,24.93,
444,Í7,112.47,
444,Í9.1,38.94,
444,Í10.1,2.32,
444,Í12,0.00,
456,Í1,13.84,
456,Í2,108.82,
456,Í3,117.12,
456,Í4,59.10,
456,Í7,375.64,
456,Í9.1,25.53,
456,Í10.1,1.57,
466,Í1,74.55,
466,Í2,83.05,
466,Í3,106.81,
466,Í4,9.97,
466,Í7,19.20,
466,Í9.1,0.00,
466,Í10.1,0.00,
466,Í12,0.00,
467,Í1,12.95,
467,Í2,35.87,
467,Í3,77.49,
467,Í4,67.06,
467,Í7,543.52,
467,Í9.1,0.06,
467,Í10.1,0.79,
467,Í12,0.00,
469,Í1,25.56,
469,Í2,62.32,
469,Í3,66.22,
469,Í4,0.00,
469,Í7,317.20,
469,Í9.1,0.00,
469,Í10.1,0.02,
469,Í12,0.00,
474,Í1,15.64,
474,Í2,48.04,
474,Í3,69.50,
474,Í4,95.76,
474,Í7,220.51,
474,Í10.1,1.50,
478,Í1,26.74,
478,Í2,76.34,
478,Í3,68.35,
478,Í4,31.85,
478,Í7,164.89,
480,Í1,23.17,
480,Í2,34.90,
480,Í3,68.57,
480,Í4,92.18,
480,Í7,236.63,
480,Í9.1,1.98,
480,Í10.1,0.82,
480,Í12,0.00,
481,Í1,29.93,
481,Í2,94.28,
481,Í3,108.83,
481,Í4,16.83,
481,Í7,152.28,
481,Í9.1,0.00,
481,Í10.1,0.34,
481,Í12,0.00,
485,Í1,19.27,
485,Í2,41.21,
485,Í3,76.26,
485,Í4,80.04,
485,Í7,105.38,
485,Í9.1,0.00,
485,Í10.1,1.21,
485,Í12,0.00,
492,Í1,16.37,
492,Í2,52.63,
492,Í3,74.42,
492,Í4,37.17,
492,Í7,332.09,
492,Í9.1,0.00,
492,Í10.1,0.13,
492,Í12,0.00,
493,Í1,21.64,
493,Í2,101.60,
493,Í3,109.22,
493,Í4,39.35,
493,Í7,68.65,
493,Í9.1,0.30,
493,Í10.1,1.51,
493,Í12,0.00,
503,Í1,15.78,
503,Í2,51.92,
503,Í3,52.32,
503,Í4,70.46,
503,Í7,240.92,
503,Í9.1,0.00,
503,Í10.1,0.31,
503,Í12,6.35,
507,Í1,28.71,
507,Í2,109.00,
507,Í3,126.68,
507,Í4,49.68,
507,Í7,196.03,
507,Í9.1,1.79,
507,Í10.1,2.46,
507,Í12,0.00,
518,Í1,10.99,
518,Í2,72.90,
518,Í3,79.08,
518,Í4,80.55,
518,Í7,75.87,
518,Í9.1,0.00,
518,Í10.1,1.09,
518,Í12,2.79,
520,Í1,14.60,
520,Í2,91.44,
520,Í3,74.55,
520,Í4,97.94,
520,Í7,237.14,
520,Í9.1,1.05,
520,Í10.1,1.70,
520,Í12,0.00,
524,Í1,20.34,
524,Í2,61.69,
524,Í3,68.79,
524,Í4,39.81,
524,Í7,265.43,
524,Í9.1,0.33,
524,Í10.1,1.13,
524,Í12,0.00,
532,Í1,27.75,
532,Í2,118.42,
532,Í3,135.82,
532,Í4,48.94,
532,Í7,190.80,
532,Í9.1,0.00,
532,Í10.1,2.34,
532,Í12,0.00,
533,Í1,44.23,
533,Í2,75.13,
533,Í3,86.63,
533,Í4,38.56,
533,Í7,89.23,
533,Í9.1,0.00,
533,Í10.1,0.42,
533,Í12,0.00,
537,Í1,17.78,
537,Í2,66.05,
537,Í3,88.69,
537,Í4,76.84,
537,Í7,314.95,
537,Í9.1,0.00,
537,Í10.1,2.20,
537,Í12,0.00,
538,Í1,89.02,
538,Í2,227.70,
538,Í3,737.45,
538,Í4,9.42,
538,Í7,50.61,
538,Í9.1,0.00,
538,Í10.1,0.48,
538,Í12,0.00,
539,Í1,15.65,
539,Í2,30.96,
539,Í3,64.55,
539,Í4,57.43,
539,Í7,205.18,
539,Í9.1,0.00,
539,Í10.1,1.76,
539,Í12,21.91,
543,Í1,50.70,
543,Í2,79.81,
543,Í3,88.56,
543,Í4,7.88,
543,Í7,0.00,
543,Í9.1,0.00,
543,Í10.1,0.00,
543,Í12,0.00,
545,Í1,21.53,
545,Í2,67.06,
545,Í3,83.34,
545,Í4,73.46,
545,Í7,352.90,
545,Í9.1,0.11,
545,Í10.1,1.80,
545,Í12,0.00,
546,Í1,45.08,
546,Í2,50.62,
546,Í3,52.41,
546,Í4,24.47,
546,Í7,30.36,
546,Í9.1,22.34,
546,Í10.1,0.00,
546,Í12,0.00,
548,Í1,11.28,
548,Í2,43.99,
548,Í3,211.93,
548,Í4,31.71,
548,Í7,517.13,
